요일,통학방식,출발시간,도착시간,지각여부,소요시간,위도,경도
금,자가용(부모님),7H 50M 0S,8H 5M 0S,정상 등교,1H -45M 0S,37.2151922,126.9747578
수,자가용(부모님),7H 55M 0S,8H 10M 0S,정상 등교,1H -45M 0S,37.2151922,126.9747578
월,자가용(부모님),8H 5M 0S,8H 20M 0S,정상 등교,15M 0S,37.2151922,126.9747578
수,자가용(부모님),8H 8M 0S,8H 27M 0S,정상 등교,19M 0S,37.2151922,126.9747578
목,자가용(부모님),8H 13M 0S,8H 28M 0S,정상 등교,15M 0S,37.2151922,126.9747578
화,자가용(부모님),8H 10M 0S,8H 30M 0S,정상 등교,20M 0S,37.2151922,126.9747578
수,자가용(부모님),8H 17M 0S,8H 33M 0S,정상 등교,16M 0S,37.2151922,126.9747578
금,자가용(부모님),8H 17M 0S,8H 34M 0S,정상 등교,17M 0S,37.2151922,126.9747578
화,자가용(부모님),8H 23M 0S,8H 38M 0S,정상 등교,15M 0S,37.2151922,126.9747578
화,자가용(부모님),8H 30M 0S,8H 43M 0S,정상 등교,13M 0S,37.2151922,126.9747578
화,도보,7H 50M 0S,8H 0M 0S,정상 등교,1H -50M 0S,37.2166984,126.9496199
목,도보,7H 53M 0S,8H 5M 0S,정상 등교,1H -48M 0S,37.2166984,126.9496199
월,도보,8H 0M 0S,8H 10M 0S,정상 등교,10M 0S,37.2166984,126.9496199
화,도보,8H 25M 0S,8H 33M 0S,정상 등교,8M 0S,37.2166984,126.9496199
금,도보,8H 23M 0S,8H 33M 0S,정상 등교,10M 0S,37.2166984,126.9496199
월,도보,8H 30M 0S,8H 40M 0S,정상 등교,10M 0S,37.2166984,126.9496199
금,도보,8H 32M 0S,8H 44M 0S,정상 등교,12M 0S,37.2166984,126.9496199
수,도보,8H 40M 0S,8H 48M 0S,정상 등교,8M 0S,37.2166984,126.9496199
화,도보,8H 43M 0S,8H 49M 0S,정상 등교,6M 0S,37.2166984,126.9496199
수,도보,8H 40M 0S,8H 49M 0S,정상 등교,9M 0S,37.2166984,126.9496199
목,도보,8H 45M 0S,8H 50M 0S,정상 등교,5M 0S,37.2166984,126.9496199
수,도보,8H 44M 0S,8H 50M 0S,정상 등교,6M 0S,37.2166984,126.9496199
